"Periodo","Non_Residents","Banks","Insurers","Local_Pension_Funds","Other_Financial","Other"
2021-10-01,0.283967217486643,0.199433922623799,0.0724394247086256,0.231762712820353,0.196281743965011,0.0161149783955674
2021-11-01,0.282157958804692,0.1990489125753,0.0673121496351616,0.236317175592548,0.199533742918211,0.0156300604740876
2021-12-01,0.281785360877975,0.200532336354144,0.0656632754723772,0.234877481929319,0.201170467622088,0.0159710777440974
2022-01-01,0.283917067854698,0.194185508075111,0.0650058523771864,0.234459091568923,0.206034329230558,0.0163981508935238
2022-02-01,0.290816002981375,0.189693719840037,0.064714637383801,0.234692549711429,0.204678266771194,0.0154048233121644
2022-03-01,0.285595824243611,0.189435167495169,0.0652107759577136,0.238064493076541,0.206848812667995,0.0148449265589703
2022-04-01,0.283943708655125,0.19178571400967,0.0642227980051253,0.24076842827235,0.200215876093763,0.0190634749639667
2022-05-01,0.280970171128736,0.186429897531941,0.0634815561849633,0.241859230262055,0.20845188672253,0.018807258169774
2022-06-01,0.274156371300314,0.189051503056496,0.0653060333557839,0.240107116582715,0.214702689758674,0.0166762859460169
2022-07-01,0.264953443171526,0.20226857465052,0.0655412062864319,0.238555972677936,0.211566791387042,0.0171140118265447
2022-08-01,0.272904243186484,0.194273782638323,0.0640020026885785,0.236106923881159,0.214965731798447,0.0177473158070077
2022-09-01,0.267805339021788,0.202686960795952,0.0625261607338449,0.236030072125982,0.21265279329034,0.0182986740320931
2022-10-01,0.261920206833972,0.203651890434161,0.0624686827017793,0.233349841421023,0.221248785030897,0.0173605935781684
2022-11-01,0.26156821354968,0.200770460027816,0.0622386044350363,0.231949715327077,0.219640005297433,0.0238330013629579
2022-12-01,0.256196697583249,0.21451662486183,0.0620885318983061,0.231397030786494,0.213855385068209,0.0219457298019128
2023-01-01,0.263769815273682,0.206558287574911,0.0639713481873615,0.231340804470298,0.216190401288255,0.0181693432054927
2023-02-01,0.254122960346866,0.2050708367719,0.064382231923341,0.233483170768198,0.222918382544151,0.0200224176455444
2023-03-01,0.252340554264054,0.199399526082636,0.0615925396668422,0.238996673119736,0.228797598114974,0.0188731087517573
2023-04-01,0.258215210006925,0.20392357022416,0.0617642000651743,0.240444955039593,0.215391730848098,0.020260333816049
2023-05-01,0.251165512293468,0.210056833837165,0.0601360537530241,0.23839520553397,0.220489100668116,0.019757293914257
2023-06-01,0.258138709185144,0.208429235333626,0.0595654277626775,0.237163871760281,0.214647704833019,0.0220550511252529
2023-07-01,0.26109338618055,0.202829644046086,0.0609637349340257,0.237484792853054,0.215723131240244,0.0219053107460399
2023-08-01,0.256178701551088,0.205267380526096,0.0642426034743673,0.236380329429104,0.213980328092721,0.0239506569266238
2023-09-01,0.252452067200606,0.208808872871748,0.0660790345283173,0.237742112330383,0.211364801227154,0.0235531118417923
2023-10-01,0.254215534853629,0.201266989638161,0.0756348477893497,0.232285500978643,0.214789120157482,0.0218080065827361
2023-11-01,0.260851017707409,0.20001379896977,0.0734445555369105,0.230956097770767,0.212296718890042,0.0224378111251022
2023-12-01,0.252616635953904,0.199099150480927,0.0717059515442124,0.227844342009134,0.226426758063446,0.0223071619483773
2024-01-01,0.252463422563658,0.204461652175748,0.0709366597036842,0.228972148290549,0.220732807046769,0.0224333102195922
2024-02-01,0.248779728064498,0.201671391984279,0.0717710585263705,0.230259805775337,0.225076783042296,0.0224412326072195
2024-03-01,0.246306591731651,0.202586873351718,0.0706184485476138,0.232017823408154,0.22713047341408,0.0213397895467837
2024-04-01,0.245712969702912,0.206674816142477,0.0692372525144708,0.233255230212625,0.224711724919579,0.0204080065079364
2024-05-01,0.252654203859381,0.201903311803025,0.072140373518783,0.233475626378598,0.229260587296743,0.0105658971434696
2024-06-01,0.248181544643967,0.201141042212051,0.0744958014679596,0.230659535925966,0.230223734517813,0.015298341232244
2024-07-01,0.250049321299948,0.19924229843462,0.0745954537327889,0.227342754993518,0.233491891230244,0.0152782803088812
2024-08-01,0.246186205735592,0.198676479658411,0.0783488762088028,0.231472270217503,0.230855162938924,0.0144610052407667
2024-09-01,0.250371283641237,0.200342058186211,0.0805799438915517,0.230704322880666,0.224249529451755,0.0137528619485792
2024-10-01,0.249992743259443,0.195721736632824,0.0779601259440973,0.231005813216853,0.2293997301998,0.0159198507469828
2024-11-01,0.241632399074623,0.201287162290797,0.0765913002950508,0.225507065154912,0.240929971768222,0.0140521014163961
2024-12-01,0.246048184621865,0.208239188854082,0.0751667463153166,0.225575760296817,0.23270506798506,0.0122650519268593
2025-01-01,0.247012518405984,0.20699893827495,0.0772434744899603,0.226153843023239,0.230266930388941,0.0123242954169254
2025-02-01,0.248829173008708,0.213497031813598,0.0773256842592028,0.227951564632443,0.219954647357067,0.0124418989289822
