"Moneda","Madurez","Fecha_Licitacion","Monto","Tasa","Tenor"
"CLP",2033-04-01,2024-07-30,8e+05,6.25,"CP"
"CLP",2030-09-01,2024-08-13,80000,5.76,"CP"
"CLP",2040-10-01,2024-08-13,80000,5.74,"LP"
"CLP",2056-04-01,2024-08-13,80000,5.71,"CP"
"UF",2044-01-01,2024-08-13,1.49,2.55,"LP"
"CLP",2027-11-01,2024-08-20,150000,5.65,"LP"
"CLP",2050-07-15,2024-08-20,80000,5.57,"LP"
"UF",2030-09-01,2024-08-20,2,2.35,"LP"
"UF",2055-11-01,2024-08-20,2,2.42,"LP"
"UF",2030-09-01,2024-08-22,2,2.38,"LP"
"UF",2055-11-01,2024-08-22,2,2.34,"LP"
"CLP",2029-10-01,2024-08-27,80000,5.63,"LP"
"UF",2028-10-01,2024-08-27,2,2.37,"LP"
"UF",2050-07-15,2024-08-27,2.5,2.33,"CP"
"CLP",2030-09-01,2024-08-29,80000,5.59,"CP"
"CLP",2056-04-01,2024-08-29,80000,5.45,"CP"
"CLP",2027-11-01,2024-09-10,146000,5.2,"LP"
"CLP",2029-10-01,2024-09-10,80000,5.23,"LP"
"CLP",2040-10-01,2024-09-10,80000,5.28,"LP"
"CLP",2055-11-01,2024-09-10,3000,2.07,"LP"
"CLP",2030-09-01,2024-09-24,80000,5.31,"CP"
"CLP",2056-04-01,2024-09-24,80000,4.99,"CP"
"UF",2050-07-15,2024-09-24,2.5,1.95,"CP"
"CLP",2029-10-01,2024-09-26,80000,5.26,"LP"
"CLP",2040-10-01,2024-09-26,80000,5.1,"LP"
"UF",2030-09-01,2024-09-26,2,2.11,"LP"
"UF",2055-11-01,2024-09-26,3,1.76,"LP"
"CLP",2029-10-01,2024-10-01,70000,5.18,"LP"
"CLP",2033-04-01,2024-10-01,91600,5.23,"LP"
"CLP",2056-04-01,2024-10-01,80000,4.65,"CP"
"CLP",2055-11-01,2024-10-01,2500,1.51,"LP"
"CLP",2027-11-01,2024-10-03,41000,5.08,"LP"
