"Fecha_Subasta","Fecha_Vencimiento","Moneda","Tasa_Corte","Monto","Tipo_Operacion","Tenor","Duracion"
2009-06-04,2009-09-10,"COP",5.55,59999.97696,"SUBASTA","CP",0.268493150684932
2009-06-04,2009-12-03,"COP",5.63,49999.909652,"SUBASTA","CP",0.498630136986301
2009-06-04,2010-05-20,"COP",5.98,39999.907364,"SUBASTA","CP",0.958904109589041
2009-06-10,2012-08-15,"COP",7.645,79999.957464,"SUBASTA","LP",2.71421796245762
2009-06-10,2014-05-14,"COP",8.305,79999.971843,"SUBASTA","LP",4.16351735141974
2009-06-10,2024-07-24,"COP",9.661,79999.998624,"SUBASTA","LP",7.81950830270806
2009-06-11,2009-09-10,"COP",5.35,59999.969523,"SUBASTA","CP",0.249315068493151
2009-06-11,2009-12-03,"COP",5.471,49999.90347,"SUBASTA","CP",0.47945205479452
2009-06-11,2010-05-20,"COP",6.08,39999.94005,"SUBASTA","CP",0.93972602739726
2009-06-17,2013-03-20,"UVR",4.947,75127.0085869053,"SUBASTA","LP",3.46842940014085
2009-06-17,2023-02-23,"UVR",5.369,75126.9657663119,"SUBASTA","LP",10.1007638724608
2009-06-18,2009-09-10,"COP",5.237,59999.91888,"SUBASTA","CP",0.23013698630137
2009-06-18,2009-12-03,"COP",5.331,49999.93161,"SUBASTA","CP",0.46027397260274
2009-06-18,2010-05-20,"COP",5.784,39999.930132,"SUBASTA","CP",0.920547945205479
2009-06-23,2012-08-15,"COP",7.929,79700.702529,"NO COMPETITIVA","LP",2.6762517786574
2009-06-24,2012-08-15,"COP",7.39,79999.92936,"SUBASTA","LP",2.67796779932039
2009-06-24,2014-05-14,"COP",8.794,79999.932896,"SUBASTA","LP",4.11717292899428
2009-06-24,2024-07-24,"COP",10.04,79999.983828,"SUBASTA","LP",7.67734480299243
2009-06-25,2009-10-08,"COP",4.7,59999.820947,"SUBASTA","CP",0.287671232876712
2009-06-25,2009-12-24,"COP",4.991,49999.918689,"SUBASTA","CP",0.498630136986301
2009-06-25,2010-06-17,"COP",5.49,39999.883848,"SUBASTA","CP",0.978082191780822
2009-06-30,2013-03-20,"UVR",4.947,73615.9899040736,"NO COMPETITIVA","LP",3.43281296178469
2009-06-30,2023-02-23,"UVR",5.37,41154.0215788156,"NO COMPETITIVA","LP",10.0649462391686
2009-07-02,2009-10-08,"COP",4.773,59999.997848,"SUBASTA","CP",0.268493150684932
2009-07-02,2009-12-24,"COP",4.9,49999.714135,"SUBASTA","CP",0.479452054794521
2009-07-02,2010-06-17,"COP",5.39,39999.743877,"SUBASTA","CP",0.958904109589041
2009-07-06,2012-08-15,"COP",7.508,79568.32184,"NO COMPETITIVA","LP",2.64411699406699
2009-07-06,2014-05-14,"COP",8.807,79406.32544,"NO COMPETITIVA","LP",4.08408338108223
2009-07-06,2024-07-24,"COP",10.033,79905.687228,"NO COMPETITIVA","LP",7.64637971089498
2009-07-08,2012-08-15,"COP",6.85,79999.863069,"SUBASTA","LP",2.64405943179692
2009-07-08,2014-05-14,"COP",8.22,79999.8258,"SUBASTA","LP",4.08819005139351
2009-07-08,2024-07-24,"COP",9.351,79999.917525,"SUBASTA","LP",7.82814659983344
2009-07-09,2009-10-08,"COP",4.589,59999.997336,"SUBASTA","CP",0.249315068493151
2009-07-09,2009-12-24,"COP",4.69,49999.958841,"SUBASTA","CP",0.46027397260274
2009-07-09,2010-06-17,"COP",4.9,39999.948768,"SUBASTA","CP",0.93972602739726
2009-07-15,2013-03-20,"UVR",4.197,80367.348367584,"SUBASTA","LP",3.39596198205805
2009-07-15,2023-02-23,"UVR",5.15,80367.2128719075,"SUBASTA","LP",10.0679814849643
2009-07-16,2009-10-08,"COP",4.35,59999.940675,"SUBASTA","CP",0.23013698630137
2009-07-16,2009-12-24,"COP",4.5,49999.948831,"SUBASTA","CP",0.441095890410959
2009-07-16,2010-06-17,"COP",4.58,39999.999396,"SUBASTA","CP",0.920547945205479
2009-07-21,2012-08-15,"COP",7.006,79774.142238,"NO COMPETITIVA","LP",2.60715975166519
2009-07-21,2014-05-14,"COP",8.288,11660.944662,"NO COMPETITIVA","LP",4.05146567389684
2009-07-21,2024-07-24,"COP",9.391,79817.764252,"NO COMPETITIVA","LP",7.78149591235705
2009-07-22,2012-08-15,"COP",6.72,79999.799885,"SUBASTA","LP",2.60677158999235
2009-07-22,2014-05-14,"COP",8.15,79999.8464,"SUBASTA","LP",4.05097371093914
2009-07-22,2024-07-24,"COP",8.868,79999.964693,"SUBASTA","LP",7.92349422540193
2009-07-23,2009-11-05,"COP",4.2,59999.805712,"SUBASTA","CP",0.287671232876712
2009-07-23,2010-01-28,"COP",4.57,49999.937526,"SUBASTA","CP",0.517808219178082
2009-07-23,2010-07-15,"COP",4.53,39999.970685,"SUBASTA","CP",0.978082191780822
2009-07-27,2013-03-20,"UVR",4.24,69277.0897939496,"NO COMPETITIVA","LP",3.36284275853483
2009-07-27,2023-02-23,"UVR",5.165,79748.50582308,"NO COMPETITIVA","LP",10.0321042934276
2009-07-30,2009-11-05,"COP",4.25,59999.714082,"SUBASTA","CP",0.268493150684932
2009-07-30,2010-01-28,"COP",4.5,49999.912755,"SUBASTA","CP",0.498630136986301
2009-07-30,2010-07-15,"COP",4.75,39999.9936,"SUBASTA","CP",0.958904109589041
2009-08-03,2024-07-24,"COP",9.019,31722.325278,"NO COMPETITIVA","LP",8.57868423283002
2009-08-06,2009-11-05,"COP",4.48,59999.933409,"SUBASTA","CP",0.249315068493151
2009-08-06,2010-01-28,"COP",4.489,49999.945212,"SUBASTA","CP",0.479452054794521
2009-08-06,2010-07-15,"COP",4.8,39999.95104,"SUBASTA","CP",0.93972602739726
2009-08-12,2012-08-15,"COP",6.79,79999.921512,"SUBASTA","LP",2.54866221107344
2009-08-12,2014-05-14,"COP",8.327,79999.98214,"SUBASTA","LP",3.99055596297425
2009-08-12,2024-07-24,"COP",9.22,79999.804305,"SUBASTA","LP",8.50478348976156
2009-08-13,2009-11-05,"COP",4.05,59999.798682,"SUBASTA","CP",0.23013698630137
2009-08-13,2010-01-28,"COP",4.45,49999.92192,"SUBASTA","CP",0.46027397260274
2009-08-13,2010-07-15,"COP",4.6,39999.950225,"SUBASTA","CP",0.920547945205479
2009-08-19,2013-03-20,"UVR",4.016,80314.9846223287,"SUBASTA","LP",3.30109121988489
2009-08-19,2023-02-23,"UVR",5.245,80314.9066046569,"SUBASTA","LP",9.95306704477154
2009-08-20,2009-12-03,"COP",4.5,59999.885106,"SUBASTA","CP",0.287671232876712
2009-08-20,2010-02-25,"COP",4.45,49999.991629,"SUBASTA","CP",0.517808219178082
2009-08-20,2010-08-12,"COP",4.6,39999.814848,"SUBASTA","CP",0.978082191780822
2009-08-24,2012-08-15,"COP",6.972,79449.814938,"NO COMPETITIVA","LP",2.73588706042521
2009-08-26,2012-08-15,"COP",6.8,79999.813288,"SUBASTA","LP",2.73096265536055
2009-08-26,2014-05-14,"COP",8.519,79999.97532,"SUBASTA","LP",3.94906680188926
2009-08-26,2024-07-24,"COP",9.598,79999.902762,"SUBASTA","LP",8.37407873509445
2009-08-27,2009-12-03,"COP",4.49,59999.862392,"SUBASTA","CP",0.268493150684932
2009-08-27,2010-02-25,"COP",4.6,49999.84788,"SUBASTA","CP",0.498630136986301
2009-08-27,2010-08-12,"COP",4.85,39999.9826,"SUBASTA","CP",0.958904109589041
2009-08-31,2013-03-20,"UVR",4.038,76854.8770304859,"NO COMPETITIVA","LP",3.26809067196346
2009-08-31,2023-02-23,"UVR",5.247,77537.3018523283,"NO COMPETITIVA","LP",9.91978929199796
2009-09-03,2009-12-03,"COP",4.48,59999.933409,"SUBASTA","CP",0.249315068493151
2009-09-03,2010-02-25,"COP",4.58,49999.9546,"SUBASTA","CP",0.479452054794521
2009-09-03,2010-08-12,"COP",4.85,39999.957988,"SUBASTA","CP",0.93972602739726
2009-09-07,2012-08-15,"COP",6.959,30472.345938,"NO COMPETITIVA","LP",2.69757285829267
2009-09-07,2014-05-14,"COP",8.598,75914.453888,"NO COMPETITIVA","LP",3.91489944765959
2009-09-07,2024-07-24,"COP",9.619,57359.22416,"NO COMPETITIVA","LP",8.33608208339867
2009-09-09,2012-08-15,"COP",6.9,69999.75957,"SUBASTA","LP",2.69228382765696
2009-09-09,2014-05-14,"COP",8.457,69999.999522,"SUBASTA","LP",3.91172291647875
2009-09-09,2024-07-24,"COP",9.6,69999.946848,"SUBASTA","LP",8.33523490777221
2009-09-10,2009-12-03,"COP",4.3,59999.871204,"SUBASTA","CP",0.23013698630137
2009-09-10,2010-02-25,"COP",4.59,49999.974948,"SUBASTA","CP",0.46027397260274
2009-09-10,2010-08-12,"COP",4.82,39999.970685,"SUBASTA","CP",0.92054794520548
2009-09-16,2013-03-20,"UVR",3.83,80287.978312495,"SUBASTA","LP",3.22542476212096
2009-09-16,2023-02-23,"UVR",5.18,80287.6609092123,"SUBASTA","LP",9.88937654128341
2009-09-17,2009-12-24,"COP",4.449,59999.904414,"SUBASTA","CP",0.268493150684932
2009-09-17,2010-03-25,"COP",4.571,49999.914384,"SUBASTA","CP",0.517808219178082
2009-09-17,2010-09-09,"COP",4.88,39999.92876,"SUBASTA","CP",0.978082191780822
2009-09-21,2012-08-15,"COP",6.996,61828.671948,"NO COMPETITIVA","LP",2.6590972581566
2009-09-21,2014-05-14,"COP",8.532,69822.00609,"NO COMPETITIVA","LP",3.87762160284424
2009-09-21,2024-07-24,"COP",9.603,69022.391123,"NO COMPETITIVA","LP",8.30162672060932
2009-09-23,2012-08-15,"COP",6.88,69999.93166,"SUBASTA","LP",2.65399220447998
2009-09-23,2014-05-14,"COP",8.39,69999.929888,"SUBASTA","LP",3.87446004258977
2009-09-23,2024-07-24,"COP",9.404,69999.962712,"SUBASTA","LP",8.34471835017426
2009-09-24,2009-12-24,"COP",4.52,59999.913792,"SUBASTA","CP",0.249315068493151
2009-09-24,2010-03-25,"COP",4.7,49999.978352,"SUBASTA","CP",0.498630136986301
2009-09-24,2010-09-09,"COP",4.971,39999.940475,"SUBASTA","CP",0.958904109589041
2009-09-28,2013-03-20,"UVR",3.847,80280.5073664239,"NO COMPETITIVA","LP",3.19245254134781
2009-09-28,2023-02-23,"UVR",5.171,79679.1138978109,"NO COMPETITIVA","LP",9.85830101317235
2009-10-01,2009-12-24,"COP",4.142,59999.96224,"SUBASTA","CP",0.23013698630137
