"Periodo","Deuda_Interna","Deuda_Externa","Deuda_Total"
2007-07-01,101306620.502915,45910505.4058015,147217125.908717
2007-08-31,102607795.202067,49881389.7514636,152489184.953531
2007-09-30,101882009.251662,47164331.7017799,149046340.953442
2007-10-31,102202988.686512,46515923.2385634,148718911.925075
2007-11-30,98259274.3590504,47850179.7008456,146109454.059896
2007-12-31,99061897.6761751,47652802.3206533,146714699.996828
2008-01-31,101159260.470126,46651303.7435929,147810564.213719
2008-02-29,102825734.606897,44314054.8818323,147139789.488729
2008-03-31,105246925.259792,44062277.0159991,149309202.275791
2008-04-30,103856013.94427,43172097.8317784,147028111.776049
2008-05-31,105744670.312826,42463357.2201008,148208027.532927
2008-06-30,106183108.475839,43819346.2175169,150002454.693356
2008-07-31,108529115.901361,43638631.6360884,152167747.53745
2008-08-31,105503068.947697,46264849.1504983,151767918.098195
2008-09-30,106592233.080567,51168866.0951696,157761099.175736
2008-10-31,106973101.04842,56110588.7638665,163083689.812286
2008-11-30,108007111.787951,55222283.0230573,163229394.811008
2008-12-31,108713710.018048,54593058.8430842,163306768.861132
2009-01-31,111305817.61516,60497140.869271,171802958.484431
2009-02-28,113372391.722476,63350774.8955304,176723166.618006
2009-03-31,115974564.0595,64875502.3969567,180850066.456457
2009-04-30,118369561.341566,59730940.6566644,178100501.99823
2009-05-31,116922434.176347,56210661.9499878,173133096.126334
2009-06-30,118383672.059277,56582159.7857885,174965831.845065
2009-07-31,115012801.180317,54145573.3886539,169158374.568971
2009-08-31,118150262.930489,54433450.4417495,172583713.372238
2009-09-30,118265101.546257,51882562.5547504,170147664.101007
2009-10-31,120751981.748289,56235126.1239036,176987107.872193
2009-11-30,125090866.314329,57694659.5674722,182785525.881801
2009-12-31,125639747.226919,59694422.1122221,185334169.339141
2010-01-31,127729021.424965,58026437.5629879,185755458.987953
2010-02-28,128602245.847493,55559913.4685686,184162159.316061
2010-03-31,129199888.264623,55542310.5898487,184742198.854472
2010-04-30,129492637.44385,59095461.7352657,188588099.179116
2010-05-31,129408467.999518,58694373.8267057,188102841.826224
2010-06-30,131337880.401296,57356296.9298285,188694177.331124
2010-07-31,133551850.982835,55065090.2675414,188616941.250377
2010-08-31,136364647.587152,55597644.8429465,191962292.430098
2010-09-30,134280437.140639,55240381.8699822,189520819.010621
2010-10-31,136440575.151929,56811157.5199663,193251732.671895
2010-11-30,137408431.986589,58523143.0408425,195931575.027431
2010-12-31,143534231.097654,59306054.9048849,202840286.002539
2011-01-31,138256172.77755,57866641.5872612,196122814.364811
2011-02-28,140291720.315387,58814395.3315974,199106115.646984
2011-03-31,141918757.214907,58372274.5552114,200291031.770119
2011-04-30,145262271.190514,55506746.601132,200769017.791646
2011-05-31,140207402.155528,55810203.2590081,196017605.414536
2011-06-30,140723785.573857,54770037.4836882,195493823.057546
2011-07-31,142649913.940956,58062873.745896,200712787.686852
2011-08-31,145502171.723587,58420183.5191182,203922355.242705
2011-09-30,145933902.131598,62443836.9790885,208377739.110686
2011-10-31,147285977.359404,60767253.2751816,208053230.634586
2011-11-30,148031373.322595,63893220.6537188,211924593.976314
2011-12-01,150713296.316483,63980291.7409315,214693588.057415
2012-01-01,149309476.958855,61312289.1353297,210621766.094185
2012-02-01,152133600.359572,58904732.4700032,211038332.829575
2012-03-01,152389175.215619,59284387.3768658,211673562.592485
2012-04-01,151928372.715372,58696879.4407806,210625252.156153
2012-05-01,151917942.341022,60219982.1600492,212137924.501071
2012-06-01,152228870.78818,59567472.4808216,211796343.269001
2012-07-01,154044907.67748,58944256.902968,212989164.580448
2012-08-01,151933235.586771,60050770.7122659,211984006.299037
2012-09-30,152577367.990655,60125045.1136518,212702413.104307
2012-10-31,152143040.790969,61002777.0192968,213145817.810265
2012-11-30,154961324.576085,60275410.6380485,215236735.214133
2012-12-31,156770236.883989,59519174.6092422,216289411.493231
2013-01-01,157088832.227511,60385932.6309927,217474764.858504
2013-02-01,160617065.76027,61469337.0683064,222086402.828576
2013-03-31,162795308.241159,61714008.7578074,224509316.998967
2013-04-30,161426030.298638,61697809.0153028,223123839.313941
2013-05-31,161038520.980835,63062721.7599325,224101242.740768
2013-06-30,161506406.546088,63775756.051845,225282162.597933
2013-07-31,165366330.559104,62830021.3143905,228196351.873495
2013-08-31,169055200.009107,64693839.5494364,233749039.558543
2013-09-30,173323596.390682,67951859.9899,241275456.380582
2013-10-31,176578184.848571,67028443.2229576,243606628.071528
2013-11-30,174537472.379229,67924833.7367682,242462306.115997
2013-12-31,180640182.34028,68719143.6314691,249359325.971749
2014-01-31,177564823.066833,75180629.9182723,252745452.985105
2014-02-28,180835085.052853,76678591.532125,257513676.584978
2014-03-31,186652561.580599,73623532.8768753,260276094.457474
2014-04-30,190792944.839601,72620679.1082295,263413623.94783
2014-05-31,184291347.869965,70899952.8721089,255191300.742074
2014-06-30,190085916.229678,70064204.6477015,260150120.87738
2014-07-31,190986328.360115,69533921.7357634,260520250.095879
2014-08-31,194468674.843592,71558525.8095447,266027200.653137
