"Entidad","Periodo","Valor"
"Personas Juridicas","2011-03-01",1976778.69564749
"Personas Naturales","2011-03-01",646493.669351
"Proveedores de Infraestructura","2011-03-01",889213.2379433
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-04-01",716986.32485855
"Banco de la Republica","2011-04-01",1164090.22937906
"Bancos Comerciales","2011-04-01",28992578.854578
"Carteras Colectivas y Fondos Administrados","2011-04-01",2817759.9222622
"Comisionistas de Bolsa","2011-04-01",912912.392871616
"Compañias de Financiamiento Comercial","2011-04-01",291330.2
"Compañias de Seguros y Capitalizacion","2011-04-01",9576470.59974824
"Cooperativas Grado Super. Caracter Finan","2011-04-01",32365.3
"Corporaciones Financieras","2011-04-01",840350.677119263
"Entidades Publicas","2011-04-01",11648962.8004383
"Entidades sin Animo de Lucro","2011-04-01",247555.4443509
"Fiducia Publica","2011-04-01",23599873.2063695
"Fondos de Capital Extranjero","2011-04-01",4356385.9153975
"Fondos de Pensiones y Cesantias","2011-04-01",36980274.8477426
"Fondos de Prima Media","2011-04-01",3349294.37635707
"Instituciones Oficiales Especiales","2011-04-01",8725287.32742073
"Ministerio de Hacienda y CP","2011-04-01",3554091.3716759
"Otros Fondos","2011-04-01",54172.4159165
"Personas Juridicas","2011-04-01",1683037.93988617
"Personas Naturales","2011-04-01",643440.2305506
"Proveedores de Infraestructura","2011-04-01",891803.1430271
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-05-01",647751.33500965
"Banco de la Republica","2011-05-01",958766.22650946
"Bancos Comerciales","2011-05-01",25652383.3427828
"Carteras Colectivas y Fondos Administrados","2011-05-01",2281502.7733745
"Comisionistas de Bolsa","2011-05-01",766798.079844709
"Compañias de Financiamiento Comercial","2011-05-01",279691.7201368
"Compañias de Seguros y Capitalizacion","2011-05-01",9786970.04323759
"Cooperativas Grado Super. Caracter Finan","2011-05-01",31910.3
"Corporaciones Financieras","2011-05-01",801227.889134622
"Entidades Publicas","2011-05-01",11747271.0535957
"Entidades sin Animo de Lucro","2011-05-01",276486.4024413
"Fiducia Publica","2011-05-01",23608740.1229335
"Fondos de Capital Extranjero","2011-05-01",3901999.5811575
"Fondos de Pensiones y Cesantias","2011-05-01",37512216.0898736
"Fondos de Prima Media","2011-05-01",3408276.66193307
"Instituciones Oficiales Especiales","2011-05-01",8782197.54250927
"Ministerio de Hacienda y CP","2011-05-01",2618865.7369663
"Otros Fondos","2011-05-01",52858.2285889
"Personas Juridicas","2011-05-01",1500428.00761728
"Personas Naturales","2011-05-01",603028.6905144
"Proveedores de Infraestructura","2011-05-01",939622.2822047
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-06-01",574562.82264855
"Banco de la Republica","2011-06-01",957365.55002156
"Bancos Comerciales","2011-06-01",25997546.6290565
"Carteras Colectivas y Fondos Administrados","2011-06-01",2131235.9925668
"Comisionistas de Bolsa","2011-06-01",941725.360740836
"Compañias de Financiamiento Comercial","2011-06-01",235000
"Compañias de Seguros y Capitalizacion","2011-06-01",9899301.61731132
"Cooperativas Grado Super. Caracter Finan","2011-06-01",27445.416
"Corporaciones Financieras","2011-06-01",946698.604956603
"Entidades Publicas","2011-06-01",11934262.3627308
"Entidades sin Animo de Lucro","2011-06-01",262480.3219194
"Fiducia Publica","2011-06-01",23292142.3624985
"Fondos de Capital Extranjero","2011-06-01",4189967.230585
"Fondos de Pensiones y Cesantias","2011-06-01",37795082.9102461
"Fondos de Prima Media","2011-06-01",3407289.32718207
"Instituciones Oficiales Especiales","2011-06-01",8651254.59505271
"Ministerio de Hacienda y CP","2011-06-01",2739462.2379434
"Otros Fondos","2011-06-01",34494.3533892
"Personas Juridicas","2011-06-01",1185875.42098525
"Personas Naturales","2011-06-01",553240.8882684
"Proveedores de Infraestructura","2011-06-01",895913.7572346
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-07-01",536612.53676735
"Banco de la Republica","2011-07-01",957639.37923666
"Bancos Comerciales","2011-07-01",25812474.3459597
"Carteras Colectivas y Fondos Administrados","2011-07-01",1955347.9561105
"Comisionistas de Bolsa","2011-07-01",968210.500122614
"Compañias de Financiamiento Comercial","2011-07-01",234863.3
"Compañias de Seguros y Capitalizacion","2011-07-01",9799111.35419678
"Cooperativas Grado Super. Caracter Finan","2011-07-01",13896
"Corporaciones Financieras","2011-07-01",954251.963992728
"Entidades Publicas","2011-07-01",12083145.7456239
"Entidades sin Animo de Lucro","2011-07-01",273213.2516635
"Fiducia Publica","2011-07-01",23559337.0100891
"Fondos de Capital Extranjero","2011-07-01",4394346.3928375
"Fondos de Pensiones y Cesantias","2011-07-01",39467334.4506207
"Fondos de Prima Media","2011-07-01",3458023.04450107
"Instituciones Oficiales Especiales","2011-07-01",8637781.73009812
"Ministerio de Hacienda y CP","2011-07-01",2968670.1788735
"Otros Fondos","2011-07-01",36790.718933
"Personas Juridicas","2011-07-01",1180980.84812638
"Personas Naturales","2011-07-01",531011.613168
"Proveedores de Infraestructura","2011-07-01",842159.7066215
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-08-01",585729.40294935
"Banco de la Republica","2011-08-01",957843.77923036
"Bancos Comerciales","2011-08-01",28280618.5797962
"Carteras Colectivas y Fondos Administrados","2011-08-01",2248346.231122
"Comisionistas de Bolsa","2011-08-01",920022.338502055
"Compañias de Financiamiento Comercial","2011-08-01",306494.534781
"Compañias de Seguros y Capitalizacion","2011-08-01",9855136.19560027
"Cooperativas Grado Super. Caracter Finan","2011-08-01",18390
"Corporaciones Financieras","2011-08-01",887512.906412425
"Entidades Publicas","2011-08-01",11990494.9338036
"Entidades sin Animo de Lucro","2011-08-01",263582.9939712
"Fiducia Publica","2011-08-01",23621731.3841756
"Fondos de Capital Extranjero","2011-08-01",4331638.907005
"Fondos de Pensiones y Cesantias","2011-08-01",39042885.8690247
"Fondos de Prima Media","2011-08-01",3480685.88445407
"Instituciones Oficiales Especiales","2011-08-01",8737453.9162339
"Ministerio de Hacienda y CP","2011-08-01",3156006.7380722
"Otros Fondos","2011-08-01",44218.9567084
"Personas Juridicas","2011-08-01",1131882.15058644
"Personas Naturales","2011-08-01",487323.3266538
"Proveedores de Infraestructura","2011-08-01",1190060.5738018
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-09-01",585296.99344935
"Banco de la Republica","2011-09-01",956904.57378506
"Bancos Comerciales","2011-09-01",26727983.4159081
"Carteras Colectivas y Fondos Administrados","2011-09-01",2011766.1215434
"Comisionistas de Bolsa","2011-09-01",1035886.44477052
"Compañias de Financiamiento Comercial","2011-09-01",335145.4025719
"Compañias de Seguros y Capitalizacion","2011-09-01",9745551.09520399
"Cooperativas Grado Super. Caracter Finan","2011-09-01",22781.8
"Corporaciones Financieras","2011-09-01",1113840.60827505
"Entidades Publicas","2011-09-01",12045502.6731243
"Entidades sin Animo de Lucro","2011-09-01",269697.4417334
"Fiducia Publica","2011-09-01",23558047.7396225
"Fondos de Capital Extranjero","2011-09-01",3999155.7637475
"Fondos de Pensiones y Cesantias","2011-09-01",40476610.6827789
"Fondos de Prima Media","2011-09-01",3419435.50549707
"Instituciones Oficiales Especiales","2011-09-01",7777827.50423067
"Ministerio de Hacienda y CP","2011-09-01",4145135.7569819
"Otros Fondos","2011-09-01",42922.5873318
"Personas Juridicas","2011-09-01",2085046.69389537
"Personas Naturales","2011-09-01",444217.8948176
"Proveedores de Infraestructura","2011-09-01",1195908.7368531
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-10-01",589948.05744935
"Banco de la Republica","2011-10-01",957033.90722576
"Bancos Comerciales","2011-10-01",27649385.3970894
"Carteras Colectivas y Fondos Administrados","2011-10-01",2135259.0269992
"Comisionistas de Bolsa","2011-10-01",1094797.62827421
"Compañias de Financiamiento Comercial","2011-10-01",337314.1784808
"Compañias de Seguros y Capitalizacion","2011-10-01",9757963.12457766
"Cooperativas Grado Super. Caracter Finan","2011-10-01",32540.381048
"Corporaciones Financieras","2011-10-01",1365169.8944082
"Entidades Publicas","2011-10-01",12376414.579411
"Entidades sin Animo de Lucro","2011-10-01",310048.3264336
"Fiducia Publica","2011-10-01",24062296.6246936
"Fondos de Capital Extranjero","2011-10-01",3934718.30674
"Fondos de Pensiones y Cesantias","2011-10-01",40388653.3950014
"Fondos de Prima Media","2011-10-01",3489625.92188007
"Instituciones Oficiales Especiales","2011-10-01",7869665.52975018
"Ministerio de Hacienda y CP","2011-10-01",4289702.5912776
"Otros Fondos","2011-10-01",42206.3739152
"Personas Juridicas","2011-10-01",1102523.46616348
"Personas Naturales","2011-10-01",457327.0044088
"Proveedores de Infraestructura","2011-10-01",1201220.7731624
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2011-11-01",538517.54129945
"Banco de la Republica","2011-11-01",957252.90099506
"Bancos Comerciales","2011-11-01",28167650.006367
"Carteras Colectivas y Fondos Administrados","2011-11-01",2370937.2588507
"Comisionistas de Bolsa","2011-11-01",976595.75418966
"Compañias de Financiamiento Comercial","2011-11-01",346321.2087827
"Compañias de Seguros y Capitalizacion","2011-11-01",9526159.77347295
"Cooperativas Grado Super. Caracter Finan","2011-11-01",27464.180719
"Corporaciones Financieras","2011-11-01",1605156.80188113
"Entidades Publicas","2011-11-01",12388200.8601343
"Entidades sin Animo de Lucro","2011-11-01",233343.5230163
"Fiducia Publica","2011-11-01",24290493.9756535
"Fondos de Capital Extranjero","2011-11-01",4001936.1734975
