"Entidad","Periodo","Valor"
"Otros Fondos","2017-08-31",31206.1
"Personas Juridicas","2017-08-31",385747.1486
"Personas Naturales","2017-08-31",78645.809
"Proveedores de Infraestructura","2017-08-31",439767.0238
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2017-09-30",181131.356
"Banco de la Republica","2017-09-30",11935311.1039767
"Bancos Comerciales","2017-09-30",37504726.0506128
"Carteras Colectivas y Fondos Administrados","2017-09-30",3007501.5821704
"Comisionistas de Bolsa","2017-09-30",358449.63494089
"Compañias de Financiamiento Comercial","2017-09-30",6857.5912
"Compañias de Seguros y Capitalizacion","2017-09-30",12150202.67022
"Cooperativas Grado Super. Caracter Finan","2017-09-30",1000
"Corporaciones Financieras","2017-09-30",925664.0540904
"Entidades Publicas","2017-09-30",889197.2672
"Entidades sin Animo de Lucro","2017-09-30",48817.99044
"Fiducia Publica","2017-09-30",32143479.1361008
"Fondos de Capital Extranjero","2017-09-30",65003752.2544024
"Fondos de Pensiones y Cesantias","2017-09-30",69938342.8593568
"Fondos de Prima Media","2017-09-30",2942793.476672
"Instituciones Oficiales Especiales","2017-09-30",10370363.6959165
"Ministerio de Hacienda y CP","2017-09-30",4166125.21248
"Otros Fondos","2017-09-30",30134.7444
"Personas Juridicas","2017-09-30",411993.1940104
"Personas Naturales","2017-09-30",87854.449384
"Proveedores de Infraestructura","2017-09-30",431025.6086128
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2017-10-31",227187.161
"Banco de la Republica","2017-10-31",11936012.9892139
"Bancos Comerciales","2017-10-31",40161564.4405456
"Carteras Colectivas y Fondos Administrados","2017-10-31",3073149.5664036
"Comisionistas de Bolsa","2017-10-31",241646.79781449
"Compañias de Financiamiento Comercial","2017-10-31",12858.9604
"Compañias de Seguros y Capitalizacion","2017-10-31",12394036.333615
"Cooperativas Grado Super. Caracter Finan","2017-10-31",1000
"Corporaciones Financieras","2017-10-31",1117029.836862
"Entidades Publicas","2017-10-31",2457006.61805
"Entidades sin Animo de Lucro","2017-10-31",46846.17903
"Fiducia Publica","2017-10-31",30792497.2113436
"Fondos de Capital Extranjero","2017-10-31",65240497.023244
"Fondos de Pensiones y Cesantias","2017-10-31",69130827.0783114
"Fondos de Prima Media","2017-10-31",2972484.436024
"Instituciones Oficiales Especiales","2017-10-31",10466188.6124947
"Ministerio de Hacienda y CP","2017-10-31",2830534.85016
"Otros Fondos","2017-10-31",29136.9123
"Personas Juridicas","2017-10-31",415186.6881592
"Personas Naturales","2017-10-31",79249.205978
"Proveedores de Infraestructura","2017-10-31",431160.4780076
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2017-11-30",227699.371
"Banco de la Republica","2017-11-30",11936240.5944179
"Bancos Comerciales","2017-11-30",41704056.158502
"Carteras Colectivas y Fondos Administrados","2017-11-30",2964828.007978
"Comisionistas de Bolsa","2017-11-30",315492.45955409
"Compañias de Financiamiento Comercial","2017-11-30",16107.287
"Compañias de Seguros y Capitalizacion","2017-11-30",12484990.214765
"Cooperativas Grado Super. Caracter Finan","2017-11-30",0
"Corporaciones Financieras","2017-11-30",1239850.460902
"Entidades Publicas","2017-11-30",2425430.74455
"Entidades sin Animo de Lucro","2017-11-30",43111.79664
"Fiducia Publica","2017-11-30",30149107.0764306
"Fondos de Capital Extranjero","2017-11-30",66455753.5623026
"Fondos de Pensiones y Cesantias","2017-11-30",68578430.7810854
"Fondos de Prima Media","2017-11-30",2833211.906664
"Instituciones Oficiales Especiales","2017-11-30",11057266.2682793
"Ministerio de Hacienda y CP","2017-11-30",2552134.233731
"Otros Fondos","2017-11-30",28303.087
"Personas Juridicas","2017-11-30",389580.0110612
"Personas Naturales","2017-11-30",75779.394538
"Proveedores de Infraestructura","2017-11-30",453348.1962436
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2017-12-31",271527.806
"Banco de la Republica","2017-12-31",10569641.4427047
"Bancos Comerciales","2017-12-31",41772927.6206401
"Carteras Colectivas y Fondos Administrados","2017-12-31",2849401.4106059
"Comisionistas de Bolsa","2017-12-31",224157.91116239
"Compañias de Financiamiento Comercial","2017-12-31",10108.5835
"Compañias de Seguros y Capitalizacion","2017-12-31",12429056.8100825
"Cooperativas Grado Super. Caracter Finan","2017-12-31",0
"Corporaciones Financieras","2017-12-31",772808.9948676
"Entidades Publicas","2017-12-31",2479424.868109
"Entidades sin Animo de Lucro","2017-12-31",40478.515165
"Fiducia Publica","2017-12-31",31254328.6198883
"Fondos de Capital Extranjero","2017-12-31",67742887.0421746
"Fondos de Pensiones y Cesantias","2017-12-31",67232167.0876647
"Fondos de Prima Media","2017-12-31",2891796.820467
"Instituciones Oficiales Especiales","2017-12-31",11561774.3223314
"Ministerio de Hacienda y CP","2017-12-31",1958397.6409439
"Otros Fondos","2017-12-31",31074.3835
"Personas Juridicas","2017-12-31",371105.0409206
"Personas Naturales","2017-12-31",71830.027749
"Proveedores de Infraestructura","2017-12-31",500408.7680738
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-01-31",269224.483
"Banco de la Republica","2018-01-31",10571131.9551015
"Bancos Comerciales","2018-01-31",42234872.4462535
"Carteras Colectivas y Fondos Administrados","2018-01-31",3086077.790405
"Comisionistas de Bolsa","2018-01-31",244819.40973349
"Compañias de Financiamiento Comercial","2018-01-31",10612.1575
"Compañias de Seguros y Capitalizacion","2018-01-31",13148620.3647125
"Cooperativas Grado Super. Caracter Finan","2018-01-31",0
"Corporaciones Financieras","2018-01-31",1669549.1528935
"Entidades Publicas","2018-01-31",2808242.560205
"Entidades sin Animo de Lucro","2018-01-31",50168.744025
"Fiducia Publica","2018-01-31",31512503.8578115
"Fondos de Capital Extranjero","2018-01-31",68900776.1177745
"Fondos de Pensiones y Cesantias","2018-01-31",67759304.8518445
"Fondos de Prima Media","2018-01-31",2957450.002415
"Instituciones Oficiales Especiales","2018-01-31",11928169.1290217
"Ministerio de Hacienda y CP","2018-01-31",2236005.1273555
"Otros Fondos","2018-01-31",34232.0712
"Personas Juridicas","2018-01-31",417378.545822
"Personas Naturales","2018-01-31",75091.41533
"Proveedores de Infraestructura","2018-01-31",513963.016781
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-02-28",308424.9856
"Banco de la Republica","2018-02-28",10573645.2659463
"Bancos Comerciales","2018-02-28",44251006.5481584
"Carteras Colectivas y Fondos Administrados","2018-02-28",3104549.9168096
"Comisionistas de Bolsa","2018-02-28",266998.42760009
"Compañias de Financiamiento Comercial","2018-02-28",15118.184
"Compañias de Seguros y Capitalizacion","2018-02-28",13225134.75898
"Cooperativas Grado Super. Caracter Finan","2018-02-28",0
"Corporaciones Financieras","2018-02-28",1396738.7898784
"Entidades Publicas","2018-02-28",2920891.8726
"Entidades sin Animo de Lucro","2018-02-28",44822.6884264
"Fiducia Publica","2018-02-28",31777698.9628408
"Fondos de Capital Extranjero","2018-02-28",69862682.0711976
"Fondos de Pensiones y Cesantias","2018-02-28",68659578.8043376
"Fondos de Prima Media","2018-02-28",2961986.567768
"Instituciones Oficiales Especiales","2018-02-28",11725369.1985024
"Ministerio de Hacienda y CP","2018-02-28",3426288.7572056
"Otros Fondos","2018-02-28",34872.1750496
"Personas Juridicas","2018-02-28",404132.5787784
"Personas Naturales","2018-02-28",79703.8802784
"Proveedores de Infraestructura","2018-02-28",512701.6193552
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-03-31",302913.3584
"Banco de la Republica","2018-03-31",10577378.6366727
"Bancos Comerciales","2018-03-31",43993220.5665184
"Carteras Colectivas y Fondos Administrados","2018-03-31",3269884.6579184
"Comisionistas de Bolsa","2018-03-31",255000.49436089
"Compañias de Financiamiento Comercial","2018-03-31",6627.136
"Compañias de Seguros y Capitalizacion","2018-03-31",13623413.9602432
"Cooperativas Grado Super. Caracter Finan","2018-03-31",0
"Corporaciones Financieras","2018-03-31",1007184.1286728
"Entidades Publicas","2018-03-31",3395115.9794
"Entidades sin Animo de Lucro","2018-03-31",44422.5364056
"Fiducia Publica","2018-03-31",31734442.1971608
"Fondos de Capital Extranjero","2018-03-31",71075373.79894
"Fondos de Pensiones y Cesantias","2018-03-31",69557730.0033144
"Fondos de Prima Media","2018-03-31",2968406.960072
"Instituciones Oficiales Especiales","2018-03-31",11573610.0624214
"Ministerio de Hacienda y CP","2018-03-31",3411928.1145224
"Otros Fondos","2018-03-31",33547.9639984
"Personas Juridicas","2018-03-31",401449.3418136
"Personas Naturales","2018-03-31",76800.3563136
"Proveedores de Infraestructura","2018-03-31",449523.3140208
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-04-30",222099.4272
"Banco de la Republica","2018-04-30",10579852.5369351
"Bancos Comerciales","2018-04-30",43988884.1923984
"Carteras Colectivas y Fondos Administrados","2018-04-30",2806059.536096
"Comisionistas de Bolsa","2018-04-30",304889.63366329
"Compañias de Financiamiento Comercial","2018-04-30",9633.068
"Compañias de Seguros y Capitalizacion","2018-04-30",13970104.52496
"Cooperativas Grado Super. Caracter Finan","2018-04-30",1500
"Corporaciones Financieras","2018-04-30",1384358.176224
"Entidades Publicas","2018-04-30",2448158.5608
"Entidades sin Animo de Lucro","2018-04-30",48673.02832
"Fiducia Publica","2018-04-30",31780450.4396032
"Fondos de Capital Extranjero","2018-04-30",72165867.7071936
"Fondos de Pensiones y Cesantias","2018-04-30",71528951.9790704
"Fondos de Prima Media","2018-04-30",2979525.774336
"Instituciones Oficiales Especiales","2018-04-30",11854607.683823
"Ministerio de Hacienda y CP","2018-04-30",6323926.9611712
"Otros Fondos","2018-04-30",30055.05296
"Personas Juridicas","2018-04-30",447188.58688
"Personas Naturales","2018-04-30",74063.3311488
"Proveedores de Infraestructura","2018-04-30",449012.8682304
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-05-31",214635.056
"Banco de la Republica","2018-05-31",10581769.6845255
"Bancos Comerciales","2018-05-31",42569061.198985
"Carteras Colectivas y Fondos Administrados","2018-05-31",3328695.677666
"Comisionistas de Bolsa","2018-05-31",400323.03347549
"Compañias de Financiamiento Comercial","2018-05-31",11708.63
"Compañias de Seguros y Capitalizacion","2018-05-31",14345545.683675
"Cooperativas Grado Super. Caracter Finan","2018-05-31",1000
"Corporaciones Financieras","2018-05-31",1569937.250303
"Entidades Publicas","2018-05-31",2471446.29275
"Entidades sin Animo de Lucro","2018-05-31",50486.2565
"Fiducia Publica","2018-05-31",33182660.754678
"Fondos de Capital Extranjero","2018-05-31",72937671.536618
"Fondos de Pensiones y Cesantias","2018-05-31",73073354.737996
"Fondos de Prima Media","2018-05-31",3026078.50993
"Instituciones Oficiales Especiales","2018-05-31",12046501.016868
"Ministerio de Hacienda y CP","2018-05-31",9038315.961881
"Otros Fondos","2018-05-31",30746.5738
"Personas Juridicas","2018-05-31",436048.2099
"Personas Naturales","2018-05-31",72235.51563
"Proveedores de Infraestructura","2018-05-31",461228.256702
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-06-30",185607.351
"Banco de la Republica","2018-06-30",11211890.5143423
"Bancos Comerciales","2018-06-30",43888393.6089455
"Carteras Colectivas y Fondos Administrados","2018-06-30",3082180.6497136
"Comisionistas de Bolsa","2018-06-30",382514.2838537
"Compañias de Financiamiento Comercial","2018-06-30",7642.1515
"Compañias de Seguros y Capitalizacion","2018-06-30",14392715.4620925
"Cooperativas Grado Super. Caracter Finan","2018-06-30",2000
"Corporaciones Financieras","2018-06-30",1234781.362629
"Entidades Publicas","2018-06-30",2503899.100525
"Entidades sin Animo de Lucro","2018-06-30",68022.84515
"Fiducia Publica","2018-06-30",32950741.754045
"Fondos de Capital Extranjero","2018-06-30",72956262.9868879
"Fondos de Pensiones y Cesantias","2018-06-30",74134767.3076116
"Fondos de Prima Media","2018-06-30",3123899.845203
"Instituciones Oficiales Especiales","2018-06-30",12061029.8765696
"Ministerio de Hacienda y CP","2018-06-30",9203541.3679951
"Otros Fondos","2018-06-30",22102.49598
"Personas Juridicas","2018-06-30",436495.20768569
"Personas Naturales","2018-06-30",75054.778173
"Proveedores de Infraestructura","2018-06-30",461414.6984642
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-07-31",186543.91393
"Banco de la Republica","2018-07-31",11286551.2186127
"Bancos Comerciales","2018-07-31",47026960.3107693
"Carteras Colectivas y Fondos Administrados","2018-07-31",3111551.9254814
"Comisionistas de Bolsa","2018-07-31",522104.1240469
"Compañias de Financiamiento Comercial","2018-07-31",7144.7735
"Compañias de Seguros y Capitalizacion","2018-07-31",14421709.6011825
"Cooperativas Grado Super. Caracter Finan","2018-07-31",2000
"Corporaciones Financieras","2018-07-31",1541401.5713797
"Entidades Publicas","2018-07-31",2526536.693525
"Entidades sin Animo de Lucro","2018-07-31",62523.10735
"Fiducia Publica","2018-07-31",33422295.3005759
"Fondos de Capital Extranjero","2018-07-31",72415935.1531914
"Fondos de Pensiones y Cesantias","2018-07-31",75614778.0074653
"Fondos de Prima Media","2018-07-31",3197329.089347
"Instituciones Oficiales Especiales","2018-07-31",11883896.5621901
"Ministerio de Hacienda y CP","2018-07-31",9039338.4849899
"Otros Fondos","2018-07-31",21805.95702
"Personas Juridicas","2018-07-31",442642.07710279
"Personas Naturales","2018-07-31",70446.743377
"Proveedores de Infraestructura","2018-07-31",479658.8389058
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-08-31",227950.15634
"Banco de la Republica","2018-08-31",11286586.8056151
"Bancos Comerciales","2018-08-31",49569730.8878332
"Carteras Colectivas y Fondos Administrados","2018-08-31",3687577.6677
"Comisionistas de Bolsa","2018-08-31",371148.145147
"Compañias de Financiamiento Comercial","2018-08-31",9144.843
"Compañias de Seguros y Capitalizacion","2018-08-31",14752966.965185
"Cooperativas Grado Super. Caracter Finan","2018-08-31",2000
"Corporaciones Financieras","2018-08-31",1387020.1291096
"Entidades Publicas","2018-08-31",2636327.01185
"Entidades sin Animo de Lucro","2018-08-31",72931.8144
"Fiducia Publica","2018-08-31",33526901.6037368
"Fondos de Capital Extranjero","2018-08-31",73830125.685401
"Fondos de Pensiones y Cesantias","2018-08-31",77627612.978034
"Fondos de Prima Media","2018-08-31",3201281.286886
"Instituciones Oficiales Especiales","2018-08-31",11873570.997069
"Ministerio de Hacienda y CP","2018-08-31",8788853.2879066
"Otros Fondos","2018-08-31",22568.3431
"Personas Juridicas","2018-08-31",531456.46338729
"Personas Naturales","2018-08-31",91463.2956978
"Proveedores de Infraestructura","2018-08-31",488844.3862004
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-09-30",208468.36131
"Banco de la Republica","2018-09-30",11286567.0919519
"Bancos Comerciales","2018-09-30",47551135.6596246
"Carteras Colectivas y Fondos Administrados","2018-09-30",3957655.6803094
"Comisionistas de Bolsa","2018-09-30",406134.7694877
"Compañias de Financiamiento Comercial","2018-09-30",20683.2881
"Compañias de Seguros y Capitalizacion","2018-09-30",14933246.3671275
"Cooperativas Grado Super. Caracter Finan","2018-09-30",0
"Corporaciones Financieras","2018-09-30",1417693.7760231
"Entidades Publicas","2018-09-30",2527659.805175
"Entidades sin Animo de Lucro","2018-09-30",89227.1329093
"Fiducia Publica","2018-09-30",33633411.0516456
"Fondos de Capital Extranjero","2018-09-30",75103465.9737215
"Fondos de Pensiones y Cesantias","2018-09-30",76958208.6755511
"Fondos de Prima Media","2018-09-30",3204403.104509
"Instituciones Oficiales Especiales","2018-09-30",12218954.7731145
"Ministerio de Hacienda y CP","2018-09-30",11033157.7075175
"Otros Fondos","2018-09-30",23553.9364469
"Personas Juridicas","2018-09-30",545357.09826519
"Personas Naturales","2018-09-30",100510.7081543
"Proveedores de Infraestructura","2018-09-30",494645.8157926
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-10-31",258194.6878656
"Banco de la Republica","2018-10-31",6400376.91828771
"Bancos Comerciales","2018-10-31",48011674.0175544
"Carteras Colectivas y Fondos Administrados","2018-10-31",4421918.5529319
"Comisionistas de Bolsa","2018-10-31",346240.396013
"Compañias de Financiamiento Comercial","2018-10-31",29486.3529
"Compañias de Seguros y Capitalizacion","2018-10-31",15212281.8643248
"Cooperativas Grado Super. Caracter Finan","2018-10-31",0
"Corporaciones Financieras","2018-10-31",1569478.6919545
"Entidades Publicas","2018-10-31",2634499.973575
"Entidades sin Animo de Lucro","2018-10-31",87536.0464747
"Fiducia Publica","2018-10-31",33652482.5153115
"Fondos de Capital Extranjero","2018-10-31",75809845.1152237
"Fondos de Pensiones y Cesantias","2018-10-31",78039168.2585156
"Fondos de Prima Media","2018-10-31",3210512.940911
"Instituciones Oficiales Especiales","2018-10-31",12102682.1303414
"Ministerio de Hacienda y CP","2018-10-31",14452521.1451482
"Otros Fondos","2018-10-31",18164.1611155
"Personas Juridicas","2018-10-31",516552.47620119
"Personas Naturales","2018-10-31",97588.0146535
"Proveedores de Infraestructura","2018-10-31",460886.9763754
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-11-30",319646.28656
"Banco de la Republica","2018-11-30",6401067.89432631
"Bancos Comerciales","2018-11-30",47476054.8770384
"Carteras Colectivas y Fondos Administrados","2018-11-30",4432942.5563896
"Comisionistas de Bolsa","2018-11-30",358055.896672
"Compañias de Financiamiento Comercial","2018-11-30",32103.7716
"Compañias de Seguros y Capitalizacion","2018-11-30",15386696.0888112
"Cooperativas Grado Super. Caracter Finan","2018-11-30",0
"Corporaciones Financieras","2018-11-30",1671962.668298
"Entidades Publicas","2018-11-30",2664856.8591
"Entidades sin Animo de Lucro","2018-11-30",96611.8787468
"Fiducia Publica","2018-11-30",33319073.978406
"Fondos de Capital Extranjero","2018-11-30",76654762.5246088
"Fondos de Pensiones y Cesantias","2018-11-30",78015673.9801264
"Fondos de Prima Media","2018-11-30",3134032.595084
"Instituciones Oficiales Especiales","2018-11-30",11902810.9164696
"Ministerio de Hacienda y CP","2018-11-30",12212270.1226408
"Otros Fondos","2018-11-30",19640.705242
"Personas Juridicas","2018-11-30",508904.18666529
"Personas Naturales","2018-11-30",97042.5544436
"Proveedores de Infraestructura","2018-11-30",432344.2948776
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2018-12-31",345119.31972
"Banco de la Republica","2018-12-31",6151681.70847311
"Bancos Comerciales","2018-12-31",46616333.5626142
"Carteras Colectivas y Fondos Administrados","2018-12-31",4505061.9099132
"Comisionistas de Bolsa","2018-12-31",270747.993354
"Compañias de Financiamiento Comercial","2018-12-31",20692.6922
"Compañias de Seguros y Capitalizacion","2018-12-31",15298027.4781144
"Cooperativas Grado Super. Caracter Finan","2018-12-31",0
"Corporaciones Financieras","2018-12-31",1669771.328319
"Entidades Publicas","2018-12-31",2543794.50345
"Entidades sin Animo de Lucro","2018-12-31",105380.3827466
"Fiducia Publica","2018-12-31",30557082.815097
"Fondos de Capital Extranjero","2018-12-31",77362779.1235026
"Fondos de Pensiones y Cesantias","2018-12-31",77960092.9688168
"Fondos de Prima Media","2018-12-31",3135126.286858
"Instituciones Oficiales Especiales","2018-12-31",11278434.5927973
"Ministerio de Hacienda y CP","2018-12-31",14530504.6904244
"Otros Fondos","2018-12-31",23359.781879
"Personas Juridicas","2018-12-31",502739.13973509
"Personas Naturales","2018-12-31",98201.9511976
"Proveedores de Infraestructura","2018-12-31",433703.2743212
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-01-31",424707.22188
"Banco de la Republica","2019-01-31",6152754.81959491
"Bancos Comerciales","2019-01-31",49044449.6364254
"Carteras Colectivas y Fondos Administrados","2019-01-31",4410052.747652
"Comisionistas de Bolsa","2019-01-31",321472.6631285
"Compañias de Financiamiento Comercial","2019-01-31",30375.2449
"Compañias de Seguros y Capitalizacion","2019-01-31",15909343.1520164
"Cooperativas Grado Super. Caracter Finan","2019-01-31",0
"Corporaciones Financieras","2019-01-31",1903855.1034683
"Entidades Publicas","2019-01-31",2517899.764725
"Entidades sin Animo de Lucro","2019-01-31",97672.44976
"Fiducia Publica","2019-01-31",30854858.507127
"Fondos de Capital Extranjero","2019-01-31",76769527.9515649
"Fondos de Pensiones y Cesantias","2019-01-31",79658518.403985
"Fondos de Prima Media","2019-01-31",3188551.579007
"Instituciones Oficiales Especiales","2019-01-31",11541565.1053897
"Ministerio de Hacienda y CP","2019-01-31",14800941.2076429
"Otros Fondos","2019-01-31",22450.4663108
"Personas Juridicas","2019-01-31",526034.60064699
"Personas Naturales","2019-01-31",83275.4081743
"Proveedores de Infraestructura","2019-01-31",427407.3700898
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-02-28",280145.78608
"Banco de la Republica","2019-02-28",7595087.64802791
"Bancos Comerciales","2019-02-28",48520341.672412
"Carteras Colectivas y Fondos Administrados","2019-02-28",4821292.210972
"Comisionistas de Bolsa","2019-02-28",244311.38756
"Compañias de Financiamiento Comercial","2019-02-28",37407.6448
"Compañias de Seguros y Capitalizacion","2019-02-28",16283212.2269056
"Cooperativas Grado Super. Caracter Finan","2019-02-28",0
"Corporaciones Financieras","2019-02-28",2163800.814348
"Entidades Publicas","2019-02-28",2511117.8006
"Entidades sin Animo de Lucro","2019-02-28",85398.06548
"Fiducia Publica","2019-02-28",31332853.0043544
"Fondos de Capital Extranjero","2019-02-28",78106167.4439176
"Fondos de Pensiones y Cesantias","2019-02-28",82845824.6843584
"Fondos de Prima Media","2019-02-28",3284114.796072
"Instituciones Oficiales Especiales","2019-02-28",11980969.9536883
"Ministerio de Hacienda y CP","2019-02-28",13510420.6004024
"Otros Fondos","2019-02-28",21792.4141448
"Personas Juridicas","2019-02-28",566328.41979049
"Personas Naturales","2019-02-28",80430.4473928
"Proveedores de Infraestructura","2019-02-28",461995.1285808
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-03-31",266274.1152
"Banco de la Republica","2019-03-31",8933376.69823431
"Bancos Comerciales","2019-03-31",49296900.8271232
"Carteras Colectivas y Fondos Administrados","2019-03-31",5282294.669504
"Comisionistas de Bolsa","2019-03-31",293082.3776256
"Compañias de Financiamiento Comercial","2019-03-31",28950.0664
"Compañias de Seguros y Capitalizacion","2019-03-31",16513627.0335168
"Cooperativas Grado Super. Caracter Finan","2019-03-31",0
"Corporaciones Financieras","2019-03-31",1452859.9249792
"Entidades Publicas","2019-03-31",2776682.6312
"Entidades sin Animo de Lucro","2019-03-31",99136.00432
"Fiducia Publica","2019-03-31",31645891.1452544
"Fondos de Capital Extranjero","2019-03-31",78314320.3497216
"Fondos de Pensiones y Cesantias","2019-03-31",86035059.7192832
"Fondos de Prima Media","2019-03-31",3284341.493856
"Instituciones Oficiales Especiales","2019-03-31",11757377.8921724
"Ministerio de Hacienda y CP","2019-03-31",11305870.5170688
"Otros Fondos","2019-03-31",18962.4538816
"Personas Juridicas","2019-03-31",559832.21329849
"Personas Naturales","2019-03-31",83650.5223872
"Proveedores de Infraestructura","2019-03-31",455837.2431936
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-04-30",244222.258195
"Banco de la Republica","2019-04-30",8939514.97208891
"Bancos Comerciales","2019-04-30",47097825.7542626
"Carteras Colectivas y Fondos Administrados","2019-04-30",5576016.9141615
"Comisionistas de Bolsa","2019-04-30",317077.0021279
"Compañias de Financiamiento Comercial","2019-04-30",28964.3147
"Compañias de Seguros y Capitalizacion","2019-04-30",16565886.4686948
"Cooperativas Grado Super. Caracter Finan","2019-04-30",3000
"Corporaciones Financieras","2019-04-30",1501421.8056651
"Entidades Publicas","2019-04-30",2827909.668625
"Entidades sin Animo de Lucro","2019-04-30",86224.665025
"Fiducia Publica","2019-04-30",31829493.4395607
"Fondos de Capital Extranjero","2019-04-30",78398865.9515277
"Fondos de Pensiones y Cesantias","2019-04-30",87844596.1069339
"Fondos de Prima Media","2019-04-30",3325239.5479705
"Instituciones Oficiales Especiales","2019-04-30",11921152.0928787
"Ministerio de Hacienda y CP","2019-04-30",10668279.9081986
"Otros Fondos","2019-04-30",17398.8543205
"Personas Juridicas","2019-04-30",564273.21649349
"Personas Naturales","2019-04-30",76496.3529404
"Proveedores de Infraestructura","2019-04-30",423941.8428278
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-05-31",301144.95375
"Banco de la Republica","2019-05-31",8945461.32122251
"Bancos Comerciales","2019-05-31",48477210.952365
"Carteras Colectivas y Fondos Administrados","2019-05-31",5678303.1627425
"Comisionistas de Bolsa","2019-05-31",302121.249455
"Compañias de Financiamiento Comercial","2019-05-31",29011.1025
"Compañias de Seguros y Capitalizacion","2019-05-31",16739493.048385
"Cooperativas Grado Super. Caracter Finan","2019-05-31",8500
"Corporaciones Financieras","2019-05-31",2731810.00609
"Entidades Publicas","2019-05-31",3894465.173125
"Entidades sin Animo de Lucro","2019-05-31",83153.254875
"Fiducia Publica","2019-05-31",32181086.990375
"Fondos de Capital Extranjero","2019-05-31",78673291.013305
"Fondos de Pensiones y Cesantias","2019-05-31",89343642.49541
"Fondos de Prima Media","2019-05-31",3319941.9400125
"Instituciones Oficiales Especiales","2019-05-31",11570636.9958725
"Ministerio de Hacienda y CP","2019-05-31",10754398.1705075
"Otros Fondos","2019-05-31",18936.9753825
"Personas Juridicas","2019-05-31",574112.31008999
"Personas Naturales","2019-05-31",74544.865945
"Proveedores de Infraestructura","2019-05-31",431362.218395
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-06-30",220682.99345
"Banco de la Republica","2019-06-30",11228969.7698257
"Bancos Comerciales","2019-06-30",49352444.1155312
"Carteras Colectivas y Fondos Administrados","2019-06-30",5038635.5797751
"Comisionistas de Bolsa","2019-06-30",421492.0105743
"Compañias de Financiamiento Comercial","2019-06-30",26059.9515
"Compañias de Seguros y Capitalizacion","2019-06-30",16515531.9624282
"Cooperativas Grado Super. Caracter Finan","2019-06-30",2000
"Corporaciones Financieras","2019-06-30",2128736.0470744
"Entidades Publicas","2019-06-30",3105573.817525
"Entidades sin Animo de Lucro","2019-06-30",77442.175195
"Fiducia Publica","2019-06-30",31633366.435082
"Fondos de Capital Extranjero","2019-06-30",81343301.8474744
"Fondos de Pensiones y Cesantias","2019-06-30",89131781.9036492
"Fondos de Prima Media","2019-06-30",3334754.4785165
"Instituciones Oficiales Especiales","2019-06-30",11106860.8904301
"Ministerio de Hacienda y CP","2019-06-30",10435696.5776015
"Otros Fondos","2019-06-30",18945.8792399
"Personas Juridicas","2019-06-30",544157.77771459
"Personas Naturales","2019-06-30",69899.2352774
"Proveedores de Infraestructura","2019-06-30",427703.2777014
"Administradoras de Carteras Colectivas y de Fdos Pensiones y Cesantias","2019-07-31",194903.0617744
"Banco de la Republica","2019-07-31",12542756.3665669
"Bancos Comerciales","2019-07-31",51195812.3566415
"Carteras Colectivas y Fondos Administrados","2019-07-31",5435015.9539537
"Comisionistas de Bolsa","2019-07-31",348548.3461205
"Compañias de Financiamiento Comercial","2019-07-31",26071.7655
"Compañias de Seguros y Capitalizacion","2019-07-31",16429214.1928314
"Cooperativas Grado Super. Caracter Finan","2019-07-31",8500
"Corporaciones Financieras","2019-07-31",2320164.9903015
"Entidades Publicas","2019-07-31",3240450.387425
"Entidades sin Animo de Lucro","2019-07-31",105427.356755
"Fiducia Publica","2019-07-31",31940502.1159497
"Fondos de Capital Extranjero","2019-07-31",81278552.4841738
"Fondos de Pensiones y Cesantias","2019-07-31",89587816.3856315
"Fondos de Prima Media","2019-07-31",3350512.8742205
"Instituciones Oficiales Especiales","2019-07-31",11414619.6420709
"Ministerio de Hacienda y CP","2019-07-31",9867278.0380915
"Otros Fondos","2019-07-31",21099.1584423
"Personas Juridicas","2019-07-31",577713.58020559
